solar,wind,wind capacity factor
0.1,0.1,23.9
0.1,0.3,22.8
0.1,0.4,23.1
0.1,0.5,23.2
0.1,0.6,22.7
0.1,0.7,21.8
0.1,0.9,21.6
0.3,0.1,22.1
0.3,0.3,22.6
0.3,0.4,22.6
0.3,0.5,22.3
0.3,0.6,22.0
0.3,0.7,21.2
0.3,0.9,20.3
0.4,0.1,21.4
0.4,0.3,22.5
0.4,0.4,21.8
0.4,0.5,21.8
0.4,0.6,21.2
0.4,0.7,20.7
0.4,0.9,19.8
0.5,0.1,21.6
0.5,0.3,22.6
0.5,0.4,21.8
0.5,0.5,21.3
0.5,0.6,21.3
0.5,0.7,20.4
0.6,0.1,21.7
0.6,0.3,22.4
0.6,0.4,21.9
0.6,0.5,21.2
0.6,0.6,20.8
0.6,0.7,20.1
0.7,0.1,22.2
0.7,0.3,21.6
0.7,0.4,21.7
0.7,0.5,21.1
0.7,0.6,19.6
0.9,0.1,22.0
0.9,0.3,22.1
0.9,0.4,21.5
